id,address,city,state,zip_code,installation_date
1,509 Elm Dr,Orlando,FL,33003,2006-04-25
2,1779 Cherry St,Tampa,FL,32356,2006-10-30
3,620 Oak Ave,Tallahassee,FL,32383,2006-04-22
4,8379 Ash Pl,Jacksonville,FL,32108,2006-10-15
5,9028 Walnut Way,Jacksonville,FL,32902,2006-08-18
6,4657 Oak Ave,Sarasota,FL,32653,2006-08-05
7,4652 Pine Rd,Gainesville,FL,32881,2006-06-22
8,1619 Walnut Way,Orlando,FL,32396,2006-07-03
9,9991 Elm Dr,Gainesville,FL,32177,2006-08-24
10,2145 Walnut Way,Boca Raton,FL,32322,2006-10-10
11,6025 Ash Pl,Fort Lauderdale,FL,32787,2006-02-05
12,3833 Elm Dr,Miami,FL,32326,2006-04-30
13,6327 Elm Dr,Orlando,FL,33857,2006-11-22
14,2764 Birch Ln,Gainesville,FL,33455,2006-04-18
15,1269 Ash Pl,Fort Lauderdale,FL,34600,2006-03-29
16,4110 Pine Rd,Boca Raton,FL,33893,2006-07-14
17,9225 Cedar Blvd,Fort Lauderdale,FL,34804,2006-06-16
18,3852 Oak Ave,Miami,FL,33292,2006-07-25
19,1184 Cedar Blvd,Fort Lauderdale,FL,34323,2006-06-11
20,8279 Walnut Way,Jacksonville,FL,34633,2006-08-23
21,4439 Pine Rd,Tampa,FL,33010,2006-10-15
22,4404 Ash Pl,Boca Raton,FL,33754,2006-10-26
23,6030 Cedar Blvd,Tallahassee,FL,32566,2006-09-18
24,1589 Oak Ave,Naples,FL,32449,2006-03-20
25,7016 Ash Pl,Tampa,FL,32260,2006-07-17
26,9863 Spruce Ct,Tallahassee,FL,34167,2006-05-09
27,288 Maple St,Boca Raton,FL,34792,2006-10-02
28,5673 Maple St,Fort Lauderdale,FL,33202,2006-08-11
29,7533 Oak Ave,Tampa,FL,34957,2006-05-15
30,3027 Cherry St,Boca Raton,FL,32435,2006-11-17
31,8417 Ash Pl,Fort Lauderdale,FL,32814,2006-03-20
32,2746 Cherry St,Gainesville,FL,34172,2006-01-01
33,5410 Spruce Ct,Sarasota,FL,32079,2006-02-27
34,5138 Cedar Blvd,Gainesville,FL,32237,2006-05-04
35,1390 Maple St,Sarasota,FL,34997,2006-09-06
36,8827 Pine Rd,Orlando,FL,32525,2006-12-04
37,9107 Pine Rd,Naples,FL,33085,2006-09-28
38,7032 Cedar Blvd,Sarasota,FL,34208,2006-04-13
39,6637 Birch Ln,Fort Lauderdale,FL,33794,2006-09-22
40,2082 Cedar Blvd,Naples,FL,32920,2006-02-02
41,444 Ash Pl,Gainesville,FL,34268,2006-04-28
42,3708 Oak Ave,Sarasota,FL,32290,2006-11-20
43,3850 Maple St,Miami,FL,32128,2006-06-19
44,8523 Cedar Blvd,Orlando,FL,33140,2006-12-09
45,3610 Cherry St,Naples,FL,32541,2006-10-20
46,7844 Cedar Blvd,Sarasota,FL,33937,2006-07-28
47,1645 Maple St,Jacksonville,FL,34699,2006-08-09
48,7039 Walnut Way,Gainesville,FL,33912,2006-01-28
49,1093 Walnut Way,Orlando,FL,34982,2006-06-23
50,4173 Cedar Blvd,Orlando,FL,32779,2006-10-02
51,2396 Walnut Way,Naples,FL,32751,2006-05-23
52,4192 Maple St,Naples,FL,33815,2006-10-09
53,928 Cherry St,Orlando,FL,32060,2006-02-17
54,2824 Walnut Way,Jacksonville,FL,33989,2006-09-04
55,6670 Oak Ave,Jacksonville,FL,32674,2006-07-14
56,6496 Elm Dr,Miami,FL,33863,2006-05-27
57,9205 Spruce Ct,Tallahassee,FL,32634,2006-04-08
58,3666 Oak Ave,Fort Lauderdale,FL,34372,2006-10-05
59,5238 Oak Ave,Miami,FL,32205,2006-10-27
60,8338 Cherry St,Naples,FL,32644,2006-01-30
61,1412 Pine Rd,Boca Raton,FL,32280,2006-11-01
62,3953 Walnut Way,Orlando,FL,32491,2006-10-19
63,9585 Ash Pl,Jacksonville,FL,32162,2006-11-14
64,6968 Ash Pl,Orlando,FL,34315,2006-09-25
65,4372 Cedar Blvd,Gainesville,FL,34743,2006-06-10
66,4451 Walnut Way,Jacksonville,FL,32536,2006-12-10
67,7591 Birch Ln,Fort Lauderdale,FL,32297,2006-01-05
68,9324 Maple St,Naples,FL,32300,2006-10-03
69,8388 Elm Dr,Jacksonville,FL,32542,2006-06-28
70,4102 Birch Ln,Orlando,FL,33167,2006-03-22
71,9000 Elm Dr,Naples,FL,34505,2006-12-01
72,228 Cherry St,Boca Raton,FL,33226,2006-12-06
73,2300 Elm Dr,Orlando,FL,32472,2006-02-24
74,2646 Elm Dr,Boca Raton,FL,33154,2006-11-06
75,5717 Cedar Blvd,Jacksonville,FL,34815,2006-11-21
76,8380 Spruce Ct,Fort Lauderdale,FL,33028,2006-01-27
77,7039 Elm Dr,Orlando,FL,32180,2006-01-02
78,2243 Elm Dr,Gainesville,FL,32661,2006-08-15
79,7107 Cherry St,Boca Raton,FL,32039,2006-02-27
80,2542 Cherry St,Orlando,FL,32147,2006-07-09
81,9152 Pine Rd,Sarasota,FL,33760,2006-03-07
82,5150 Birch Ln,Miami,FL,32163,2006-07-03
83,4188 Maple St,Jacksonville,FL,33448,2006-10-14
84,2632 Cedar Blvd,Tallahassee,FL,32665,2006-04-01
85,506 Pine Rd,Tallahassee,FL,33360,2006-07-30
86,4471 Pine Rd,Jacksonville,FL,34872,2006-02-25
87,734 Spruce Ct,Tallahassee,FL,32911,2006-04-13
88,5828 Elm Dr,Naples,FL,32932,2006-04-25
89,3264 Walnut Way,Miami,FL,33344,2006-05-23
90,4673 Birch Ln,Orlando,FL,34627,2006-09-18
91,8885 Birch Ln,Tallahassee,FL,32113,2006-03-01
92,3025 Ash Pl,Fort Lauderdale,FL,33087,2006-01-20
93,9874 Walnut Way,Orlando,FL,33415,2006-06-10
94,8479 Maple St,Tallahassee,FL,33577,2006-10-23
95,4273 Oak Ave,Jacksonville,FL,34903,2006-08-12
96,8618 Cherry St,Miami,FL,34813,2006-12-10
97,6067 Walnut Way,Jacksonville,FL,32286,2006-12-07
98,5243 Maple St,Gainesville,FL,34948,2006-06-03
99,5167 Walnut Way,Boca Raton,FL,33336,2006-07-26
100,9183 Pine Rd,Fort Lauderdale,FL,32785,2006-08-04
